record_id,user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
REC100000,USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,1967-04-06,Mumbai,Maharashtra,35119.0,Retired,2025-12-02 02:18:16,Verified,Low
REC100001,USR17216,Megha Jani,,023412025028,,Lucknow,Uttar Pradesh,80907.0,Freelancer,2024-01-31 00:00:00,Verified,Medium
REC100002,USR45454,Panini Lal,QCNTL9489O,278162999816,,Kolkata,West Bengal,11214.0,Farmer,2026-01-30 23:57:18,Pending,High
REC100003,USR46189,Jack Parikh,RRVUI4059Q,066780327731,,Amritsar,Punjab,27300.0,Student,2025-09-04 00:00:00,Verified,Low
REC100004,USR85256,Eta Ravi,YGVOI9236W,176258817110,1969-02-19,Delhi,Delhi,24705.0,Salaried,2026-02-03 00:00:00,Verified,Low
REC100005,USR20918,Vanya Chad,JDGOH0074Y,894463789078,1961-04-20,Bengaluru,Karnataka,14124.0,Self Employed,2024-04-25 00:00:00,Rejected,Medium
REC100006,USR22494,Nirja Shetty,JWZVO4240H,,1990-09-05,Chennai,Tamil Nadu,16160.0,Retired,,Rejected,Medium
REC100007,USR34742,Ati Dash,OOQCG9609N,985048780290,1962-12-20,Jaipur,Rajasthan,43738.0,Unemployed,2025-07-25 00:00:00,Verified,High
REC100008,USR83137,Ria Kale,,,2005-09-09,Jaipur,Rajasthan,25151.0,Freelancer,2024-04-03 00:00:00,Pending,Low
REC100009,USR99161,Jalsa Malhotra,QLSKS5105S,944300371193,1963-05-20,Jalandhar,Punjab,,Retired,,Rejected,Low
REC100010,USR16625,Anika Vora,CACWZ2722S,017979940718,,Lucknow,Uttar Pradesh,28634.0,Unemployed,2026-03-08 00:00:00,Verified,Medium
REC100011,USR65060,Anirudh Bhatnagar,AIWTB3506U,,2003-06-16,Jaipur,Rajasthan,30875.0,Student,2024-05-24 07:29:05,Verified,Low
REC100012,USR13678,Reva Jaggi,,577479489696,1982-05-27,Jaipur,Rajasthan,24200.0,Gig Worker,2024-02-16 00:00:00,Pending,Low
REC100013,USR78719,Indira Chaudhary,VGLXS2856D,624494538280,1977-04-17,Ludhiana,Punjab,20231.0,Student,2024-01-30 00:00:00,Verified,Low
REC100014,USR83333,Gautam Bajwa,HLNXD7947Q,846950176261,1969-08-24,Hyderabad,Telangana,24890.0,Freelancer,2025-07-10 08:23:10,Rejected,Low
