record_id,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
REC100000,MCH2849,"Bhavsar, Kota and Zacharia",7011,Hotel/Lodging,Private Limited,Ludhiana,Punjab,2025-09-23,,Inactive,2432.18
REC100001,MCH4314,Deshmukh Ltd,5699,Apparel,Private Limited,Jalandhar,Punjab,,3021439858,Inactive,986.05
REC100002,MCH1986,"Bains, Chanda and Ghosh",5311,Department Store,Individual,Jalandhar,Punjab,2026-01-10,,Active,1427.52
REC100003,MCH3899,Goswami-Bath,4131,Transportation,Sole Proprietor,Hyderabad,Telangana,2023-01-14,,Active,
REC100004,MCH4859,Vasa-Raju,5812,Restaurant,Sole Proprietor,Hyderabad,Telangana,2025-03-17,XXXX9523,Active,214.0
REC100005,MCH6848,Dora LLC,5311,Department Store,Partnership,Chennai,Tamil Nadu,2025-09-20,DUSD7272281625368,Active,1272.49
REC100006,MCH9933,Bali-Zachariah,5411,Grocery Store,Sole Proprietor,Jaipur,Rajasthan,2023-06-07,TWPF4694358713410,Active,1549.0
REC100007,MCH2637,Joshi Group,5999,Miscellaneous Retail,Partnership,Chennai,Tamil Nadu,2025-02-20,,Active,
REC100008,MCH8708,"Mukherjee, Sami and Purohit",5999,Miscellaneous Retail,Sole Proprietor,Hyderabad,Telangana,2026-01-28,,Suspended,2919.92
REC100009,MCH2430,Bora Group,4814,Telecom,Individual,Amritsar,Punjab,2026-01-27,2955352677,Active,827.43
REC100010,MCH8556,"Rout, Dhillon and Sinha",5942,Books & Stationery,Sole Proprietor,Jaipur,Rajasthan,2023-05-04,,Active,
REC100011,MCH9997,"Kalita, Dass and Balay",5999,Miscellaneous Retail,Individual,Ludhiana,Punjab,2023-07-12,XXXX2557,Active,2233.91
REC100012,MCH7003,"Koshy, Samra and Chana",5942,Books & Stationery,Private Limited,Jalandhar,Punjab,2024-06-29,XXXX7569,Hold,776.99
REC100013,MCH6945,Barad LLC,5311,Department Store,Partnership,Ludhiana,Punjab,2025-09-13,,Active,3350.77
REC100014,MCH4323,"Ben, Wagle and Shan",5812,Restaurant,Sole Proprietor,Chennai,Tamil Nadu,2023-05-11,4367668757,Suspended,
REC100015,MCH1405,Sawhney-Narula,5912,Pharmacy,Sole Proprietor,Lucknow,Uttar Pradesh,2024-12-31,,Suspended,3091.86
REC100016,MCH9459,Bala and Sons,5411,Grocery Store,Partnership,Chennai,Tamil Nadu,2023-11-12,,Active,558.21
REC100017,MCH7645,Majumdar-Nagarajan,5912,Pharmacy,Sole Proprietor,Amritsar,Punjab,2024-09-21,7530870851,Active,1396.81
REC100018,MCH9620,Chad PLC,5311,Department Store,Individual,Ludhiana,Punjab,2025-04-16,HEOY8360949899311,Active,786.55
REC100019,MCH9815,"Narasimhan, Vasa and Goswami",5942,Books & Stationery,Individual,Delhi,Delhi,2025-11-10,MZNM1643262942719,Active,
REC100020,MCH5251,"Rana, Chandra and Tank",4131,Transportation,Partnership,Mumbai,Maharashtra,,,Inactive,3641.26
REC100021,MCH2934,Warrior-Sibal,5999,Miscellaneous Retail,Individual,Amritsar,Punjab,2025-04-07,,Active,
REC100022,MCH3140,"Zachariah, Rajagopal and Samra",4814,Telecom,Private Limited,Amritsar,Punjab,2023-09-04,,Active,363.21
